village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
35,187,187,35187,1,GENERAL,0,0,0,0,1,,1,0,1,1,3,0,0
35,188,188,35188,1,GENERAL,0,0,0,0,1,,1,1,1,3,3,0,0
35,189,189,35189,1,OBC,0,0,0,0,1,,2,1,1,1,3,1,0
35,190,190,35190,1,OBC,0,0,0,1,0,,2,1,1,3,1,0,0
35,191,191,35191,2,MINORITY,0,0,0,0,1,,4,3,1,1,1,0,0
35,192,192,35192,1,SCHEDULE TRIBE,0,0,0,1,0,,2,1,2,3,1,0,0
35,193,193,35193,2,MINORITY,0,0,0,0,1,,3,2,1,3,1,1,0
35,194,194,35194,1,SCHEDULE TRIBE,0,0,0,0,1,,2,1,1,3,5,1,0
35,195,195,35195,1,SCHEDULE TRIBE,0,0,0,0,1,,5,2,1,1,1,1,1
35,196,196,35196,1,OBC,0,0,0,0,1,,2,0,1,3,1,1,0
35,197,197,35197,1,SCHEDULE TRIBE,0,0,0,0,1,,3,1,1,3,1,1,0
35,198,198,35198,1,SCHEDULE TRIBE,1,0,0,0,0,,2,0,3,3,1,0,0
35,199,199,35199,1,OBC,0,0,0,0,1,,2,1,1,2,3,1,0
35,200,200,35200,1,OBC,0,0,0,0,1,,4,2,1,1,1,0,0
35,201,201,35201,1,SCHEDULE TRIBE,0,0,0,1,0,,3,1,2,3,5,0,0
35,202,202,35202,1,GENERAL,0,0,0,1,0,,2,1,1,1,1,1,0
35,203,203,35203,1,OBC,0,0,0,0,1,,6,2,1,1,1,0,1
35,204,204,35204,1,GENERAL,0,0,0,0,1,,4,1,1,1,1,0,0
35,205,205,35205,1,SCHEDULE TRIBE,1,0,0,0,0,,1,0,1,3,1,1,1
35,206,206,35206,1,OBC,0,0,0,1,0,,2,1,1,3,1,0,0
